experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking,mipfocus
37,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,0,1,heterogeneous,1000,1,1,1,0.4,6,0,0
38,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,0,1,heterogeneous,1000,1,1,1,0.4,6,0,0
39,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,0,1,heterogeneous,1000,1,1,1,0.4,6,0,0
40,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,0,1,heterogeneous,1000,1,1,1,0.4,6,0,0
41,4,mag,2019-06-23,3,6,8,0,0.01,500,24,0.01,1,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
42,4,mag,2019-06-30,3,6,8,0,0.01,500,24,0.01,1,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
43,4,mag,2019-07-07,3,6,8,0,0.01,500,24,0.01,1,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
44,4,mag,2019-07-14,3,6,8,0,0.01,500,24,0.01,1,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
45,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,1,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
46,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,1,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
47,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,1,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
48,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,1,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
49,4,mag,2019-06-23,3,6,8,0,0.01,500,24,0.01,1,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
50,4,mag,2019-06-30,3,6,8,0,0.01,500,24,0.01,1,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
51,4,mag,2019-07-07,3,6,8,0,0.01,500,24,0.01,1,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
52,4,mag,2019-07-14,3,6,8,0,0.01,500,24,0.01,1,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
53,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,1,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
54,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,1,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
55,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,1,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
56,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,1,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
57,4,mag,2019-06-23,3,6,8,0,0.01,500,24,0.01,2,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
58,4,mag,2019-06-30,3,6,8,0,0.01,500,24,0.01,2,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
59,4,mag,2019-07-07,3,6,8,0,0.01,500,24,0.01,2,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
60,4,mag,2019-07-14,3,6,8,0,0.01,500,24,0.01,2,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
61,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,2,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
62,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,2,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
63,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,2,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
64,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,2,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
65,4,mag,2019-06-23,3,6,8,0,0.01,500,24,0.01,2,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
66,4,mag,2019-06-30,3,6,8,0,0.01,500,24,0.01,2,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
67,4,mag,2019-07-07,3,6,8,0,0.01,500,24,0.01,2,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
68,4,mag,2019-07-14,3,6,8,0,0.01,500,24,0.01,2,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
69,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,2,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
70,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,2,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
71,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,2,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
72,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,2,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
73,4,mag,2019-06-23,3,6,8,0,0.01,500,24,0.01,3,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
74,4,mag,2019-06-30,3,6,8,0,0.01,500,24,0.01,3,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
75,4,mag,2019-07-07,3,6,8,0,0.01,500,24,0.01,3,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
76,4,mag,2019-07-14,3,6,8,0,0.01,500,24,0.01,3,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
77,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,3,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
78,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,3,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
79,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,3,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
80,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,3,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
81,4,mag,2019-06-23,3,6,8,0,0.01,500,24,0.01,3,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
82,4,mag,2019-06-30,3,6,8,0,0.01,500,24,0.01,3,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
83,4,mag,2019-07-07,3,6,8,0,0.01,500,24,0.01,3,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
84,4,mag,2019-07-14,3,6,8,0,0.01,500,24,0.01,3,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
85,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,3,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
86,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,3,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
87,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,3,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
88,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,3,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
89,4,mag,2019-06-23,3,6,8,0,0.01,500,24,0.01,4,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
90,4,mag,2019-06-30,3,6,8,0,0.01,500,24,0.01,4,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
91,4,mag,2019-07-07,3,6,8,0,0.01,500,24,0.01,4,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
92,4,mag,2019-07-14,3,6,8,0,0.01,500,24,0.01,4,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
93,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,4,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
94,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,4,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
95,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,4,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
96,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,4,0,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
97,4,mag,2019-06-23,3,6,8,0,0.01,500,24,0.01,4,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
98,4,mag,2019-06-30,3,6,8,0,0.01,500,24,0.01,4,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
99,4,mag,2019-07-07,3,6,8,0,0.01,500,24,0.01,4,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
100,4,mag,2019-07-14,3,6,8,0,0.01,500,24,0.01,4,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
101,4,mag,2019-07-21,3,6,8,0,0.01,500,24,0.01,4,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
102,4,mag,2019-07-28,3,6,8,0,0.01,500,24,0.01,4,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
103,4,mag,2019-08-04,3,6,8,0,0.01,500,24,0.01,4,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
104,4,mag,2019-08-11,3,6,8,0,0.01,500,24,0.01,4,1,heterogeneous,1000,0.5,0.58,1,0.4,6,0,0
